# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.295199,7.1490,8.5900,15.0780,18.77
4.295412,3.4900,10.4600,6.4710,12.79
4.315521,0.2880,10.6740,-1.0030,10.72
4.315685,-2.8010,9.4410,-6.3730,11.73
4.341173,-4.7750,7.3270,-9.5000,12.91
4.358837,-7.7540,4.2370,-11.3310,14.37
4.376597,-8.8520,1.5890,-11.1940,14.36
4.376726,-9.2900,0.6980,-10.5240,14.06
4.397498,-9.6290,0.2830,-8.4920,12.84
4.397853,-9.3790,0.2640,-7.7190,12.15
4.424053,-6.6300,-0.7070,-10.5280,12.46
4.441040,-8.0370,-0.0350,-6.7040,10.47
4.459265,-5.9970,0.3270,-4.5760,7.55
4.459455,-3.7710,1.9780,-4.5510,6.23
4.479496,-1.8290,3.1560,-4.1620,5.53
4.479737,-0.3240,3.1710,-4.0730,5.17
4.507536,0.5010,2.3720,-3.8790,4.57
4.522879,0.9110,1.2110,-2.9120,3.28
4.540205,0.6720,1.1970,-1.7750,2.24
4.540339,-0.1360,1.6700,-1.4530,2.22
4.560371,-0.7790,1.7840,-0.9320,2.16
4.560492,-0.3970,1.7380,-0.4200,1.83
4.580182,0.3670,1.8500,-0.0290,1.89
4.580400,0.7510,1.7770,0.5980,2.02
4.607327,0.7960,1.2770,1.4360,2.08
4.607506,0.7860,0.6080,4.1410,4.26
4.622473,0.9740,-0.7140,2.9250,3.16
4.622609,1.2670,-1.8310,3.0930,3.81
4.641442,0.9470,-1.4110,2.1200,2.72
4.641573,0.5010,-1.1150,1.9830,2.33
4.661293,2.0880,0.7870,11.2500,11.47
4.661469,-0.5740,0.3760,8.6130,8.64
4.681345,-4.1440,-0.5700,8.1930,9.20
4.681545,-4.6690,-1.2770,10.3240,11.40
4.705657,-4.4400,-1.2380,11.3810,12.28
4.705814,-3.9370,-0.5000,11.3710,12.04
4.724053,-3.6300,-0.1850,10.3360,10.96
4.724214,-3.9000,0.9640,9.1320,9.98
4.743573,-3.8690,1.1170,8.4150,9.33
4.743765,-3.8820,-1.1800,7.7910,8.78
4.764910,-2.0010,-2.9450,7.2400,8.07
4.765056,0.5610,-3.0900,5.7840,6.58
4.788793,1.6380,-2.5190,3.0200,4.26
4.807892,0.1700,-1.8090,-2.0440,2.73
4.825267,-0.1240,-2.1260,-2.7090,3.45
4.825465,-0.0590,-3.5100,-3.0390,4.64
4.845937,0.5590,-3.9980,-2.8270,4.93
4.846187,1.1310,-4.8130,-2.8860,5.72
4.872518,1.2670,-5.2540,-3.3990,6.38
4.890660,0.5620,-4.9270,-6.7960,8.41
4.906972,2.0500,-3.5780,-10.5550,11.33
4.907139,3.3270,-2.2840,-10.7020,11.44
4.929047,4.4050,-1.3480,-9.3120,10.39
4.929479,5.1880,-0.7570,-7.6340,9.26
4.947459,5.8210,-0.5500,-6.1450,8.48
4.947596,6.0090,-0.3000,-4.8530,7.73
4.969074,5.7780,-0.1650,-3.8800,6.96
4.969211,5.4330,-0.1490,-3.0390,6.23
4.988095,5.1540,-0.1150,-2.6130,5.78
4.988191,5.5900,-0.1210,-2.4040,6.09
5.009738,6.5490,-0.6160,-2.2610,6.96
5.009833,7.2460,-0.8780,-1.7660,7.51
5.029844,7.3480,-0.7860,-0.8820,7.44
5.030115,6.7520,-1.2030,-0.0280,6.86
5.056202,5.9030,-1.4240,0.5150,6.09
5.074236,2.1270,-1.7170,1.0070,2.91
5.090649,-2.3720,-1.5370,0.7930,2.94
5.090823,-4.6230,-1.2510,-0.1810,4.79
5.111502,-5.3480,-2.2150,-0.5330,5.81
5.111762,-5.9000,-2.9860,-0.1890,6.62
5.139620,-6.6340,-2.6510,-0.6490,7.17
5.157577,-7.3400,-3.4880,1.3390,8.24
5.173538,-8.8250,-2.9770,3.4820,9.94
5.173780,-10.9590,-2.3450,2.9600,11.59
5.191610,-12.6080,-2.3170,2.3160,13.03
5.191768,-12.1110,-4.4680,3.9750,13.51
5.212235,-11.9330,-7.3420,7.4320,15.86
5.212520,-14.8500,-9.2770,10.9220,20.64
5.240133,-16.3010,-7.9560,14.9090,23.48
5.257844,-11.6720,4.2500,17.1910,21.21
5.273736,2.0510,7.8400,8.5230,11.76
5.273913,7.5300,7.9880,4.8870,12.02
5.295304,9.9390,8.2940,2.6550,13.21
5.295781,8.7690,8.5600,0.6210,12.27
5.321796,4.3280,8.4340,-1.8180,9.65
5.340245,-6.3510,8.2110,-5.2920,11.65
