# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:54:53.505
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.625447,6.6070,-15.4610,-12.9870,21.25
4.645508,6.9040,-11.8940,-14.1950,19.76
4.645703,5.8470,-6.2820,-14.1970,16.59
4.673865,3.9000,-0.9420,-11.5780,12.25
4.689488,-0.7420,5.0400,-5.5590,7.54
4.706335,4.1070,8.0240,-7.2660,11.58
4.706495,7.2180,10.1430,-7.8950,14.74
4.726650,9.5450,12.7800,-7.2300,17.51
4.726937,10.3600,14.7290,-5.7850,18.91
4.746540,9.7210,15.4320,-3.2970,18.53
4.746716,8.9830,14.6380,-0.3200,17.18
4.772889,8.7280,13.5880,2.4020,16.33
4.773093,8.6700,12.5590,4.7310,15.98
4.790059,7.8650,11.4840,6.4130,15.33
4.790230,6.2040,10.3270,7.4400,14.16
4.806475,3.9380,8.4850,7.8430,12.21
4.806638,1.5200,6.3150,7.5090,9.93
4.829077,-0.6850,3.7050,6.5740,7.58
4.829210,-2.4270,1.1730,6.1870,6.75
4.855036,-3.9160,-0.2580,7.3910,8.37
4.872442,-5.6360,-0.5930,10.3050,11.76
4.890437,-6.0350,-2.6380,9.0970,11.23
4.890608,-6.4450,-3.7740,8.4760,11.30
4.910005,-7.6460,-4.9640,7.6320,11.89
4.910217,-9.2710,-5.7890,5.5380,12.25
4.930446,-11.0520,-5.7860,2.3710,12.70
4.930629,-12.4850,-5.5400,-0.7630,13.68
4.956524,-13.5470,-4.5490,-2.7130,14.55
4.974259,-16.3200,-1.6740,-3.8090,16.84
4.996607,-19.4710,6.0120,-6.0820,21.27
5.012004,-13.3770,7.4460,-10.3270,18.47
5.034360,-10.7440,11.5800,-5.4470,16.71
5.034454,-9.1200,8.9110,-5.7460,13.99
5.052347,-8.1000,8.3240,-6.0530,13.10
5.052418,-6.6930,7.5360,-6.5410,12.02
5.072601,-4.2740,6.6960,-7.6590,11.03
5.072676,-1.1910,6.1690,-8.9450,10.93
5.093368,1.6860,5.4770,-8.8680,10.56
5.093481,2.8390,2.9850,-7.9390,8.94
5.117577,5.7410,0.6750,-6.1500,8.44
5.138093,8.1100,-3.3140,-1.9000,8.96
5.138230,8.3840,-4.4860,0.2300,9.51
5.155089,8.4620,-5.4560,1.7700,10.22
5.176119,8.0950,-6.2730,3.1680,10.72
5.176313,7.8470,-6.3670,3.4140,10.67
5.196365,7.5260,-6.5470,3.5050,10.57
5.196507,7.3290,-7.4810,3.3980,11.01
5.221222,7.0300,-9.3420,3.6950,12.26
5.238215,5.3920,-15.0230,5.3220,16.83
5.256221,6.2660,-24.8940,12.8150,28.69
5.256446,8.2280,-24.5040,21.8860,33.87
5.276674,8.4560,-18.1010,31.1030,36.97
5.276920,7.0060,-8.6950,35.5380,37.25
5.296748,4.5320,0.7260,35.4560,35.75
5.296930,1.5170,5.4920,28.7110,29.27
5.321151,-1.0120,6.9080,18.3200,19.61
5.321336,-2.1400,9.1830,8.2510,12.53
5.339070,-1.4780,11.0010,-0.9840,11.14
5.339266,0.3180,11.9710,-7.2550,14.00
5.359473,2.4090,12.1590,-9.7440,15.77
5.359654,4.1720,10.5310,-9.8410,15.01
5.379266,5.0630,8.1590,-8.5370,12.85
5.379517,4.4910,5.7530,-6.7700,9.95
5.405460,2.9820,3.8670,-5.0560,7.03
5.424588,-0.5250,0.6470,-3.7390,3.83
5.440491,-3.2290,-2.1350,-6.3800,7.46
5.440667,-3.8250,-3.0760,-7.6360,9.08
5.460176,-4.1340,-3.2300,-8.0510,9.61
5.460262,-4.1290,-3.0540,-7.6920,9.25
5.483012,-3.9100,-3.1460,-7.2300,8.80
5.483113,-3.9120,-2.9550,-6.9350,8.49
5.504427,-3.9830,-2.7780,-6.9060,8.44
5.504508,-4.1460,-2.3730,-7.1550,8.60
5.521057,-4.1310,-1.8660,-8.0450,9.23
5.521123,-4.3100,-0.5140,-8.8470,9.85
5.542083,-5.2330,1.3690,-8.9340,10.44
5.542218,-6.8300,2.7710,-8.7540,11.44
5.562682,-8.4820,4.3220,-8.2160,12.57
5.562983,-9.7260,5.9950,-7.0380,13.42
5.587687,-9.8170,7.5760,-5.5730,13.60
5.606034,-8.1720,8.8980,-2.4600,12.33
5.624725,-7.4620,8.2690,-2.6090,11.44
5.624893,-7.3310,8.4470,-2.6370,11.49
5.645294,-7.2820,8.2170,-2.7280,11.31
5.645442,-7.1070,7.9160,-2.4070,10.91
5.669438,-6.5860,7.8590,-1.6070,10.38
5.688266,-3.3690,6.4700,1.2660,7.40
5.706248,0.8750,4.5220,2.4600,5.22
5.706398,3.0980,3.5560,2.2400,5.22
5.726541,5.2270,2.8760,1.9010,6.26
5.726798,6.5870,2.8940,1.9420,7.45
5.754097,7.3000,2.9220,1.7680,8.06
5.772317,7.3730,3.0470,0.4760,7.99
5.786266,7.0760,3.3410,-1.0370,7.89
5.786426,6.8060,3.0790,-1.6230,7.64
5.806382,6.5800,2.5170,-2.1450,7.36
5.806569,6.1490,2.3850,-2.1790,6.95
5.826518,5.6850,2.0970,-1.7570,6.31
5.826709,5.0710,1.1820,-1.2880,5.36
5.854517,4.6280,-0.4860,-0.9690,4.75
5.872371,3.9330,-5.4890,0.1620,6.75
5.889079,5.2030,-10.3450,3.3310,12.05
5.889213,6.4250,-11.9990,4.9900,14.50
5.909648,7.5130,-13.0850,7.1060,16.68
5.909843,8.0830,-12.9430,10.1340,18.32
5.937219,7.8830,-11.0570,13.5030,19.15
5.954364,5.0650,-6.6230,18.1820,20.00
5.970726,0.7210,-4.4450,15.9770,16.60
5.970957,-1.2670,-3.7510,13.4440,14.01
5.991355,-2.7470,-3.3950,10.4600,11.34
5.991563,-4.0820,-2.8650,6.9640,8.57
6.011205,-5.0430,-2.5830,3.1860,6.50
6.011373,-5.4190,-2.4770,-0.7390,6.00
6.032605,-5.1590,-2.8430,-3.8590,7.04
6.032672,-4.7210,-3.8700,-5.8110,8.43
6.056124,-4.2420,-5.4440,-7.0200,9.84
6.056229,-3.3800,-7.4700,-8.3160,11.68
6.072261,-2.1160,-9.7720,-9.9400,14.10
6.072446,-0.4820,-12.0510,-11.7370,16.83
6.093048,1.5370,-14.2660,-13.5730,19.75
6.093222,3.4360,-15.1250,-15.5350,21.95
6.115531,4.1810,-13.1130,-16.2190,21.27
6.115627,4.9670,-9.8600,-16.7520,20.06
6.133423,5.4870,-5.0260,-16.5330,18.13
6.133630,5.9030,1.3810,-13.7280,15.01
6.154542,6.3500,5.8000,-10.5980,13.65
6.154644,7.0700,7.2700,-8.4530,13.20
6.175378,7.2400,9.4870,-7.1360,13.90
6.175576,7.5790,11.8230,-6.5740,15.51
6.202547,8.0650,13.2430,-6.2320,16.71
6.221986,6.3200,14.0210,-4.1180,15.92
6.236650,4.0550,12.0340,-2.4190,12.93
6.236807,3.0730,11.2130,-2.0310,11.80
6.256709,2.7570,10.1870,-1.2490,10.63
6.256852,3.0020,8.8200,0.1260,9.32
6.277154,3.1160,7.7300,1.6500,8.50
6.277362,2.7130,6.1510,3.0480,7.38
6.302674,1.4920,4.2830,4.3440,6.28
6.316972,-2.7510,0.3930,6.7960,7.34
6.336676,-5.3490,-2.7300,7.6500,9.73
6.336845,-5.7370,-3.9180,6.9990,9.86
6.359350,-5.6080,-5.1620,6.1200,9.77
6.359498,-4.9060,-6.0030,5.8980,9.74
6.385662,-3.6260,-6.6200,6.7180,10.10
6.402660,-0.9840,-7.1790,10.1010,12.43
6.419599,-0.5250,-6.3440,10.5090,12.29
6.419750,-0.9350,-5.8770,9.2230,10.98
6.440007,-1.4430,-5.3700,7.4590,9.30
6.440198,-1.9690,-4.6180,5.4020,7.37
6.460234,-2.5780,-3.3490,3.1570,5.28
6.460789,-2.7980,-2.3020,0.5910,3.67
6.485941,-3.1040,-1.0910,-1.3900,3.57
6.506049,-4.0400,0.4990,-3.5500,5.40
6.506156,-4.6670,0.9960,-3.8130,6.11
6.521263,-5.2430,1.5130,-3.6040,6.54
6.542217,-6.0630,2.2030,-1.9610,6.74
6.542397,-6.1090,2.6150,-0.7930,6.69
6.569982,-5.8160,2.8270,0.2340,6.47
6.589455,-4.1820,2.4200,1.6560,5.11
6.602883,-0.8460,1.0960,4.1740,4.40
6.602998,1.4720,1.1870,6.6280,6.89
6.623522,4.2130,1.6220,9.3450,10.38
6.623675,6.0210,2.2130,11.7960,13.43
6.644426,6.0330,2.8120,13.6020,15.14
6.644566,3.2900,4.0620,14.7130,15.61
6.669531,0.0060,4.6280,14.0970,14.84
6.669703,-2.0880,4.4650,11.7950,12.78
6.687410,-2.9500,3.3420,7.4840,8.71
6.687568,-3.0930,2.2180,2.0990,4.35
6.705491,-2.8900,1.6780,-2.6360,4.26
6.705665,-2.4630,1.0510,-6.0220,6.59
6.726212,-1.6470,0.4200,-7.8210,8.00
6.726449,-0.6930,0.3360,-7.8270,7.86
6.750009,0.3140,0.3100,-6.4220,6.44
6.768493,2.2610,-0.3870,-3.0360,3.81
6.786251,6.0150,-3.5360,-2.7520,7.50
6.786414,8.0760,-5.9780,-4.2260,10.90
6.806409,9.3970,-8.2740,-6.5930,14.15
6.806557,11.0010,-9.9820,-8.9820,17.36
6.826296,13.0570,-10.3490,-10.5680,19.73
