# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.865369,-4.5780,3.3900,3.7640,6.83
3.890692,-2.4650,1.8520,2.6100,4.04
3.908740,2.3140,-2.7090,-1.5410,3.88
3.926065,3.3790,-1.4610,-2.0030,4.19
3.926289,2.6630,-1.5180,-0.6960,3.14
3.945411,0.9270,-1.5880,0.0630,1.84
3.945638,0.1080,-0.0170,-0.6270,0.64
3.974454,-0.9440,1.5020,-0.3620,1.81
3.991820,-1.3830,0.4820,-0.1550,1.47
4.006425,-0.0830,-0.8270,-0.6320,1.04
4.006563,0.6330,-0.7170,-0.8180,1.26
4.027487,0.7190,-0.7750,-0.7670,1.31
4.027686,0.6170,-0.6270,-0.3780,0.96
4.048218,0.2410,-0.5270,0.1240,0.59
4.048402,-0.2970,-0.4100,0.5820,0.77
4.071528,-0.4570,-0.3010,0.8480,1.01
4.071625,-0.1550,-0.2730,1.0350,1.08
4.088869,0.4670,-0.6150,1.1150,1.36
4.088962,1.1260,-1.0720,1.0180,1.86
4.110062,1.5140,-1.5260,0.9390,2.35
4.110186,1.6000,-1.7900,0.9940,2.60
4.128213,1.4540,-1.7840,1.2050,2.60
4.128318,1.0600,-1.6300,1.3110,2.35
4.152740,0.6350,-1.5190,1.1620,2.02
4.152834,0.2490,-1.4100,0.9430,1.71
4.168891,0.0790,-1.1930,0.6980,1.38
4.169105,0.2430,-0.9470,0.5150,1.11
4.189469,0.5520,-0.7800,0.3450,1.02
4.189549,0.9740,-0.6930,0.2080,1.21
4.211054,1.2910,-0.6290,0.1260,1.44
4.211242,1.3870,-0.4800,0.0690,1.47
4.230164,1.4640,-0.4450,0.0590,1.53
4.230291,1.4790,-0.5530,0.4600,1.64
4.254145,1.5320,-0.8260,1.2610,2.15
4.254383,1.3960,-0.6430,1.7710,2.34
4.272189,1.4750,-0.4720,1.9950,2.53
4.272342,1.8060,-0.3490,1.8220,2.59
4.292373,2.0480,-0.1260,1.4190,2.49
4.292516,2.2230,0.1070,1.0410,2.46
4.313597,2.0650,0.4380,0.7990,2.26
4.313796,1.8930,0.5090,0.7900,2.11
4.339615,2.2060,0.1660,0.7680,2.34
4.357144,2.3870,0.2060,1.0450,2.61
4.373930,2.8670,-0.6660,0.9520,3.09
4.374077,2.1540,-0.5100,-0.1740,2.22
4.393755,0.9590,-0.0420,-1.5930,1.86
4.393909,-0.6730,0.2820,-2.8810,2.97
4.419948,-2.1140,0.4380,-3.9830,4.53
4.435600,-4.5710,2.1610,-5.8640,7.74
